x,y,z,radius,link,bodyId
10380.0,19636.0,23998.0,6.0,-1,1473008750
10368.0,19636.0,23998.0,6.0,1,1473008750
10332.0,19636.0,23974.0,30.0,2,1473008750
10236.0,19612.0,23962.0,31.9473,3,1473008750
10164.0,19600.0,23962.0,31.9473,4,1473008750
10032.0,19564.0,23950.0,54.0,5,1473008750
9924.0,19540.0,23926.0,58.622,6,1473008750
9768.0,19528.0,23938.0,42.0,7,1473008750
9684.0,19516.0,23938.0,30.0,8,1473008750
9612.0,19516.0,23938.0,30.0,9,1473008750
9504.0,19504.0,23962.0,42.0,10,1473008750
9408.0,19480.0,23962.0,42.0,11,1473008750
9312.0,19444.0,23950.0,31.9473,12,1473008750
9240.0,19408.0,23938.0,27.9411,13,1473008750
9156.0,19360.0,23926.0,31.9473,14,1473008750
9072.0,19324.0,23926.0,31.9473,15,1473008750
8976.0,19300.0,23914.0,31.9473,16,1473008750
8904.0,19300.0,23902.0,30.0,17,1473008750
8832.0,19288.0,23890.0,30.0,18,1473008750
8760.0,19288.0,23890.0,30.0,19,1473008750
8676.0,19288.0,23890.0,42.0,20,1473008750
8604.0,19288.0,23878.0,63.9714,21,1473008750
8472.0,19300.0,23866.0,54.0,22,1473008750
8316.0,19276.0,23866.0,42.0,23,1473008750
8196.0,19264.0,23878.0,31.9473,24,1473008750
8124.0,19252.0,23890.0,30.0,25,1473008750
8040.0,19228.0,23890.0,31.9473,26,1473008750
7944.0,19216.0,23890.0,30.0,27,1473008750
7872.0,19204.0,23914.0,30.0,28,1473008750
7800.0,19204.0,23914.0,30.0,29,1473008750
7728.0,19192.0,23926.0,30.0,30,1473008750
7656.0,19192.0,23926.0,30.0,31,1473008750
7572.0,19192.0,23950.0,30.0,32,1473008750
7476.0,19180.0,23950.0,42.0,33,1473008750
7440.0,19180.0,23974.0,31.9473,34,1473008750
7368.0,19168.0,23998.0,42.0,35,1473008750
7284.0,19156.0,24034.0,31.9473,36,1473008750
7188.0,19144.0,24058.0,42.0,37,1473008750
7092.0,19132.0,24058.0,54.0,38,1473008750
7008.0,19132.0,24070.0,66.0,39,1473008750
6876.0,19156.0,24094.0,44.9117,40,1473008750
6816.0,19168.0,24130.0,20.8328,41,1473008750
6744.0,19180.0,24142.0,30.0,42,1473008750
6720.0,19180.0,24166.0,30.0,43,1473008750
6624.0,19204.0,24166.0,30.0,44,1473008750
6552.0,19216.0,24190.0,30.0,45,1473008750
6468.0,19240.0,24214.0,30.0,46,1473008750
6372.0,19240.0,24226.0,43.4773,47,1473008750
6300.0,19228.0,24262.0,54.0,48,1473008750
6240.0,19204.0,24310.0,31.9473,49,1473008750
6156.0,19156.0,24382.0,37.2666,50,1473008750
