x,y,z,radius,link,bodyId
3012.0,12546.0,23032.0,8.0,-1,1255405703
3028.0,12562.0,23032.0,14.6274,1,1255405703
3060.0,12578.0,23064.0,24.0,2,1255405703
3076.0,12562.0,23080.0,8.0,3,1255405703
3092.0,12546.0,23096.0,8.0,4,1255405703
3092.0,12530.0,23096.0,8.0,5,1255405703
3092.0,12514.0,23096.0,8.0,6,1255405703
3092.0,12498.0,23112.0,14.6274,7,1255405703
3076.0,12482.0,23128.0,14.6274,8,1255405703
3060.0,12482.0,23128.0,8.0,9,1255405703
3044.0,12482.0,23128.0,14.6274,10,1255405703
3012.0,12498.0,23128.0,14.6274,11,1255405703
2985.27,12498.0,23141.4,22.4574,12,1255405703
2948.0,12466.0,23144.0,14.6274,13,1255405703
2932.0,12450.0,23144.0,14.6274,14,1255405703
2917.07,12435.1,23158.9,23.3722,15,1255405703
2916.0,12402.0,23160.0,8.0,16,1255405703
2916.0,12386.0,23160.0,8.0,17,1255405703
2916.0,12370.0,23160.0,8.0,18,1255405703
2900.0,12354.0,23160.0,14.6274,19,1255405703
2868.0,12322.0,23160.0,14.6274,20,1255405703
2852.0,12290.0,23160.0,24.0,21,1255405703
2820.0,12258.0,23160.0,14.6274,22,1255405703
2804.0,12242.0,23144.0,24.0,23,1255405703
2756.0,12194.0,23112.0,24.0,24,1255405703
2740.0,12178.0,23096.0,14.6274,25,1255405703
2708.0,12146.0,23096.0,24.0,26,1255405703
2676.0,12098.0,23112.0,42.5964,27,1255405703
2644.0,12066.0,23112.0,27.7771,28,1255405703
2580.0,11986.0,23112.0,37.2548,29,1255405703
2612.0,11858.0,23080.0,37.2548,30,1255405703
2644.0,11762.0,23016.0,37.2548,31,1255405703
2708.0,11746.0,22968.0,14.6274,32,1255405703
2724.0,11730.0,22952.0,14.6274,33,1255405703
2740.0,11730.0,22952.0,14.6274,34,1255405703
2772.0,11698.0,22936.0,27.7771,35,1255405703
2820.0,11618.0,22968.0,24.0,36,1255405703
2852.0,11554.0,22984.0,24.0,37,1255405703
2884.0,11506.0,23000.0,24.0,38,1255405703
2916.0,11458.0,23032.0,24.0,39,1255405703
2932.0,11426.0,23032.0,14.6274,40,1255405703
2964.0,11394.0,23032.0,24.0,41,1255405703
2980.0,11346.0,23016.0,24.0,42,1255405703
3012.0,11282.0,23016.0,27.7771,43,1255405703
3044.0,11234.0,23032.0,24.0,44,1255405703
3060.0,11218.0,23016.0,14.6274,45,1255405703
3076.0,11186.0,23016.0,27.7771,46,1255405703
3108.0,11138.0,23000.0,24.0,47,1255405703
3156.0,11058.0,23016.0,24.0,48,1255405703
3172.0,11026.0,23016.0,24.0,49,1255405703
3188.0,10994.0,23048.0,24.0,50,1255405703
3204.0,10946.0,23048.0,24.0,51,1255405703
