x,y,z,radius,link,bodyId
21150.0,17322.0,25484.0,10.0,-1,1411250251
21130.0,17322.0,25484.0,10.0,1,1411250251
21110.0,17322.0,25484.0,10.0,2,1411250251
21090.0,17322.0,25484.0,10.0,3,1411250251
21070.0,17322.0,25484.0,10.0,4,1411250251
21050.0,17342.0,25504.0,18.2843,5,1411250251
21010.0,17342.0,25524.0,30.0,6,1411250251
20930.0,17342.0,25544.0,30.0,7,1411250251
20850.0,17342.0,25544.0,30.0,8,1411250251
20770.0,17362.0,25564.0,30.0,9,1411250251
20690.0,17362.0,25584.0,30.0,10,1411250251
20610.0,17362.0,25584.0,30.0,11,1411250251
20530.0,17362.0,25584.0,30.0,12,1411250251
20450.0,17362.0,25564.0,30.0,13,1411250251
20370.0,17362.0,25564.0,34.7214,14,1411250251
20250.0,17362.0,25544.0,46.5685,15,1411250251
20190.0,17382.0,25564.0,50.0,16,1411250251
20110.0,17402.0,25584.0,30.0,17,1411250251
20030.0,17422.0,25584.0,30.0,18,1411250251
19950.0,17442.0,25604.0,30.0,19,1411250251
19870.0,17462.0,25604.0,30.0,20,1411250251
19770.0,17482.0,25624.0,50.0,21,1411250251
19650.0,17482.0,25624.0,50.0,22,1411250251
19510.0,17502.0,25624.0,46.5685,23,1411250251
19450.0,17542.0,25664.0,50.0,24,1411250251
19350.0,17582.0,25684.0,30.0,25,1411250251
19270.0,17622.0,25704.0,30.0,26,1411250251
19190.0,17662.0,25724.0,34.7214,27,1411250251
19130.0,17702.0,25744.0,34.7214,28,1411250251
19070.0,17742.0,25784.0,30.0,29,1411250251
18990.0,17782.0,25824.0,30.0,30,1411250251
18910.0,17822.0,25824.0,30.0,31,1411250251
18830.0,17902.0,25884.0,34.7214,32,1411250251
18750.0,17942.0,25904.0,30.0,33,1411250251
18710.0,17942.0,25904.0,30.0,34,1411250251
18610.0,17982.0,25944.0,30.0,35,1411250251
18530.0,18002.0,25964.0,34.7214,36,1411250251
18490.0,18002.0,25964.0,30.0,37,1411250251
18430.0,18022.0,25964.0,50.0,38,1411250251
18348.5,18027.4,25947.8,45.8865,39,1411250251
18290.0,18042.0,25904.0,34.7214,40,1411250251
18170.0,18082.0,25844.0,53.2456,41,1411250251
18034.0,18102.0,25786.0,53.6888,42,1411250251
