x,y,z,radius,link,bodyId
1452.0,16546.0,16410.0,6.0,-1,1536403805
1464.0,16546.0,16410.0,6.0,1,1536403805
1488.0,16522.0,16410.0,20.8328,2,1536403805
1688.72,16678.0,16405.6,233.36700000000002,3,1536403805
1697.97,16703.4,16451.8,235.255,4,1536403805
1701.45,16713.0,16469.3,235.967,5,1536403805
1702.88,16716.9,16476.4,236.25900000000001,6,1536403805
1713.97,16747.4,16531.8,238.52200000000002,7,1536403805
1719.33,16762.2,16558.6,239.61599999999999,8,1536403805
1725.63,16779.5,16590.2,240.903,9,1536403805
1738.17,16801.8,16616.7,230.572,10,1536403805
1753.18,16825.2,16638.4,214.607,11,1536403805
1773.77,16857.2,16668.1,192.72,12,1536403805
1781.76,16869.6,16679.7,184.22299999999998,13,1536403805
1788.54,16880.2,16689.4,177.013,14,1536403805
1810.33,16914.1,16720.9,153.839,15,1536403805
1814.69,16920.9,16727.2,149.204,16,1536403805
1833.14,16949.6,16753.9,129.586,17,1536403805
1856.76,17068.2,16768.4,78.3535,18,1536403805
1865.37,17118.2,16775.4,63.3049,19,1536403805
1868.84,17139.1,16778.8,58.4309,20,1536403805
1887.27,17203.8,16797.3,56.9413,21,1536403805
1905.7,17268.8,16844.8,64.584,22,1536403805
2004.0,17386.0,16938.0,42.0,23,1536403805
2076.0,17410.0,16986.0,30.0,24,1536403805
2172.0,17422.0,17046.0,42.0,25,1536403805
2256.0,17446.0,17106.0,30.0,26,1536403805
2328.0,17446.0,17154.0,37.2666,27,1536403805
2388.0,17458.0,17214.0,31.9473,28,1536403805
2460.0,17458.0,17262.0,20.8328,29,1536403805
2484.0,17470.0,17274.0,20.8328,30,1536403805
2508.0,17470.0,17298.0,30.0,31,1536403805
2532.0,17482.0,17322.0,18.0,32,1536403805
2568.0,17482.0,17358.0,27.9411,33,1536403805
2592.0,17494.0,17370.0,18.0,34,1536403805
2652.0,17494.0,17418.0,18.0,35,1536403805
2688.0,17518.0,17454.0,27.9411,36,1536403805
2712.0,17542.0,17478.0,18.0,37,1536403805
1848.0,17302.0,16794.0,27.9411,23,1536403805
1812.0,17194.0,16710.0,30.0,22,1536403805
1788.0,17218.0,16686.0,20.8328,40,1536403805
1776.0,17242.0,16662.0,6.0,41,1536403805
1764.0,17242.0,16662.0,6.0,42,1536403805
1776.0,17146.0,16662.0,43.4773,21,1536403805
1776.0,17194.0,16626.0,31.9473,44,1536403805
1884.0,17062.0,16854.0,61.8823,20,1536403805
1734.8,17012.0,16645.5,134.19799999999998,19,1536403805
1572.0,17122.0,16626.0,20.8328,47,1536403805
1548.0,17122.0,16638.0,18.0,48,1536403805
1536.0,17122.0,16662.0,6.0,49,1536403805
1524.0,17122.0,16674.0,10.9706,50,1536403805
1524.0,17110.0,16698.0,10.9706,51,1536403805
1524.0,17098.0,16710.0,10.9706,52,1536403805
1512.0,17098.0,16734.0,10.9706,53,1536403805
1500.0,17098.0,16746.0,10.9706,54,1536403805
1500.0,17086.0,16758.0,6.0,55,1536403805
1512.0,17146.0,16674.0,10.9706,51,1536403805
1500.0,17146.0,16698.0,10.9706,57,1536403805
1488.0,17146.0,16722.0,10.9706,58,1536403805
1476.0,17134.0,16734.0,6.0,59,1536403805
1536.0,17158.0,16614.0,6.0,49,1536403805
1524.0,17170.0,16614.0,6.0,61,1536403805
1752.0,17146.0,16602.0,27.9411,47,1536403805
1764.0,17158.0,16578.0,27.9411,63,1536403805
1932.0,17002.0,16866.0,37.2666,19,1536403805
1872.0,16714.0,16950.0,154.1,18,1536403805
2028.0,16570.0,16878.0,42.0,66,1536403805
2028.0,16594.0,16842.0,27.9411,67,1536403805
2040.0,16606.0,16818.0,6.0,68,1536403805
2040.0,16618.0,16806.0,6.0,69,1536403805
1716.0,16822.0,16542.0,219.46,17,1536403805
1560.0,16870.0,16386.0,150.0,71,1536403805
1500.0,17014.0,16350.0,47.6656,72,1536403805
1524.0,17062.0,16326.0,18.0,73,1536403805
1860.0,17038.0,16578.0,27.9411,16,1536403805
1608.0,16954.0,16830.0,78.0,15,1536403805
1572.0,17002.0,16710.0,30.0,14,1536403805
1608.0,17062.0,16494.0,58.622,13,1536403805
1620.0,17110.0,16458.0,20.8328,78,1536403805
1644.0,17134.0,16446.0,6.0,79,1536403805
1656.0,17134.0,16446.0,6.0,80,1536403805
1907.2,16547.1,16675.4,149.344,12,1536403805
2028.0,16498.0,16830.0,27.9411,82,1536403805
2028.0,16366.0,16626.0,42.0,82,1536403805
1908.0,16498.0,16878.0,30.0,11,1536403805
1896.0,16510.0,16542.0,162.0,10,1536403805
1968.0,16354.0,16518.0,54.0,86,1536403805
1620.0,16462.0,16626.0,42.0,9,1536403805
1644.0,16414.0,16674.0,10.9706,88,1536403805
1644.0,16414.0,16686.0,10.9706,89,1536403805
1656.0,16414.0,16698.0,6.0,90,1536403805
1572.0,16474.0,16506.0,31.9473,8,1536403805
1560.0,17038.0,16410.0,44.9117,7,1536403805
1704.0,16774.0,16602.0,236.981,6,1536403805
1932.0,16390.0,16422.0,54.0,5,1536403805
1440.0,16618.0,16482.0,10.9706,4,1536403805
1428.0,16606.0,16482.0,6.0,96,1536403805
2220.0,17998.0,23406.0,6.0,-1,1536403805
2208.0,17998.0,23406.0,6.0,98,1536403805
2196.0,17986.0,23394.0,10.9706,99,1536403805
2184.0,17974.0,23382.0,10.9706,100,1536403805
2160.0,17962.0,23382.0,10.9706,101,1536403805
2136.0,17938.0,23382.0,10.9706,102,1536403805
2124.0,17914.0,23370.0,18.0,103,1536403805
2112.0,17902.0,23358.0,10.9706,104,1536403805
2100.0,17878.0,23358.0,18.0,105,1536403805
2076.0,17854.0,23346.0,18.0,106,1536403805
2064.0,17842.0,23334.0,18.0,107,1536403805
2040.0,17818.0,23334.0,10.9706,108,1536403805
2028.0,17818.0,23334.0,10.9706,109,1536403805
2016.0,17806.0,23322.0,18.0,110,1536403805
1980.0,17794.0,23298.0,18.0,111,1536403805
1956.0,17794.0,23298.0,18.0,112,1536403805
1944.0,17806.0,23286.0,18.0,113,1536403805
1896.0,17818.0,23286.0,20.8328,114,1536403805
1848.0,17854.0,23274.0,10.9706,115,1536403805
1824.0,17854.0,23262.0,20.8328,116,1536403805
1776.0,17890.0,23250.0,20.8328,117,1536403805
1752.0,17914.0,23250.0,10.9706,118,1536403805
1704.0,17926.0,23250.0,20.8328,119,1536403805
1668.0,17950.0,23238.0,18.0,120,1536403805
1644.0,17974.0,23202.0,18.0,121,1536403805
1620.0,17986.0,23166.0,18.0,122,1536403805
1608.0,18010.0,23142.0,18.0,123,1536403805
1572.0,18022.0,23094.0,20.8328,124,1536403805
1548.0,18046.0,23058.0,18.0,125,1536403805
1524.0,18070.0,23034.0,18.0,126,1536403805
1512.0,18094.0,23022.0,18.0,127,1536403805
1524.0,18118.0,23022.0,18.0,128,1536403805
1524.0,18142.0,23010.0,10.9706,129,1536403805
1524.0,18166.0,22986.0,18.0,130,1536403805
1536.0,18190.0,22962.0,18.0,131,1536403805
1560.0,18238.0,22962.0,18.0,132,1536403805
1572.0,18286.0,22926.0,20.8328,133,1536403805
1572.0,18322.0,22902.0,20.8328,134,1536403805
1560.0,18358.0,22878.0,42.0,135,1536403805
1596.0,18466.0,22866.0,27.9411,136,1536403805
1608.0,18538.0,22842.0,37.2666,137,1536403805
1620.0,18610.0,22830.0,30.0,138,1536403805
1632.0,18682.0,22830.0,37.2666,139,1536403805
