x,y,z,radius,link,bodyId
3208.0,16314.0,15948.0,21.0,-1,5813033742
3236.0,16300.0,16018.0,21.0,1,5813033742
3264.0,16286.0,16074.0,24.305,2,5813033742
3334.0,16258.0,16144.0,43.4777,3,5813033742
3390.0,16216.0,16270.0,68.3923,4,5813033742
3443.2,16216.0,16485.6,110.68299999999999,5,5813033742
3527.1,16239.2,16621.4,164.385,6,5813033742
3557.77,16261.2,16689.3,171.7,7,5813033742
3588.19,16299.2,16780.6,164.41099999999997,8,5813033742
3606.23,16324.4,16838.9,153.316,9,5813033742
3618.97,16345.6,16885.5,136.423,10,5813033742
3621.95,16350.6,16896.5,132.469,11,5813033742
3642.0,16384.0,16970.0,105.87200000000001,12,5813033742
3656.31,16398.3,17034.4,83.9541,13,5813033742
3675.09,16417.1,17111.3,60.4545,14,5813033742
3707.88,16449.9,17194.8,44.8607,15,5813033742
3723.53,16465.5,17218.3,38.3067,16,5813033742
3754.0,16496.0,17250.0,35.0,17,5813033742
3782.0,16552.0,17306.0,32.598,18,5813033742
3838.0,16608.0,17376.0,32.598,19,5813033742
3880.0,16664.0,17432.0,32.598,20,5813033742
3908.0,16692.0,17516.0,24.305,21,5813033742
3936.0,16692.0,17600.0,32.598,22,5813033742
3978.0,16720.0,17670.0,32.598,23,5813033742
3992.0,16748.0,17740.0,32.598,24,5813033742
3992.0,16762.0,17782.0,24.305,25,5813033742
4020.0,16804.0,17866.0,32.598,26,5813033742
4048.0,16846.0,17922.0,24.305,27,5813033742
4062.0,16874.0,17978.0,32.598,28,5813033742
4076.0,16888.0,18006.0,21.0,29,5813033742
4076.0,16916.0,18062.0,21.0,30,5813033742
4090.0,16944.0,18104.0,21.0,31,5813033742
4104.0,16958.0,18118.0,21.0,32,5813033742
4104.0,16958.0,18146.0,12.799000000000001,33,5813033742
4118.0,16972.0,18160.0,12.799000000000001,34,5813033742
4132.0,16986.0,18174.0,21.0,35,5813033742
4146.0,17014.0,18230.0,21.0,36,5813033742
4174.0,17042.0,18286.0,21.0,37,5813033742
4188.0,17070.0,18342.0,24.305,38,5813033742
4216.0,17098.0,18384.0,24.305,39,5813033742
4244.0,17140.0,18440.0,21.0,40,5813033742
4244.0,17168.0,18482.0,21.0,41,5813033742
4258.0,17196.0,18538.0,21.0,42,5813033742
4286.0,17210.0,18594.0,21.0,43,5813033742
4300.0,17224.0,18650.0,21.0,44,5813033742
4328.0,17252.0,18692.0,21.0,45,5813033742
4342.0,17252.0,18748.0,21.0,46,5813033742
4370.0,17266.0,18804.0,21.0,47,5813033742
4384.0,17294.0,18860.0,21.0,48,5813033742
4412.0,17308.0,18902.0,24.305,49,5813033742
4440.0,17336.0,18944.0,21.0,50,5813033742
4454.0,17364.0,18986.0,21.0,51,5813033742
4496.0,17378.0,19042.0,21.0,52,5813033742
4496.0,17392.0,19070.0,21.0,53,5813033742
4524.0,17406.0,19112.0,24.305,54,5813033742
4566.0,17434.0,19154.0,21.0,55,5813033742
4594.0,17448.0,19210.0,21.0,56,5813033742
4594.0,17476.0,19252.0,21.0,57,5813033742
4622.0,17490.0,19294.0,21.0,58,5813033742
