x,y,z,radius,link,bodyId
1554.0,17272.0,14606.0,143.785,-1,1720143975
1610.71,17251.4,14662.7,171.386,1,1720143975
1659.65,17233.6,14711.7,195.21,2,1720143975
1712.1,17208.6,14769.5,210.801,3,1720143975
1745.18,17173.5,14823.7,187.78400000000002,4,1720143975
1783.5,17129.7,14889.4,155.873,5,1720143975
1831.2,17104.0,14961.6,111.71600000000001,6,1720143975
1881.6,17104.0,15028.8,60.8712,7,1720143975
1935.82,17107.8,15093.5,40.5105,8,1720143975
1943.87,17115.9,15117.6,34.2506,9,1720143975
1974.0,17118.0,15222.0,21.0,10,1720143975
1988.0,17132.0,15236.0,21.0,11,1720143975
2002.0,17132.0,15292.0,24.305,12,1720143975
2030.0,17146.0,15348.0,24.305,13,1720143975
2030.0,17174.0,15418.0,21.0,14,1720143975
2044.0,17202.0,15460.0,21.0,15,1720143975
2058.0,17230.0,15488.0,21.0,16,1720143975
2072.0,17272.0,15530.0,21.0,17,1720143975
2142.0,17314.0,15614.0,43.4777,18,1720143975
2184.0,17342.0,15726.0,35.0,19,1720143975
2212.0,17356.0,15782.0,24.305,20,1720143975
2226.0,17370.0,15810.0,32.598,21,1720143975
2254.0,17398.0,15866.0,24.305,22,1720143975
2282.0,17398.0,15894.0,21.0,23,1720143975
2282.0,17412.0,15922.0,21.0,24,1720143975
2324.0,17412.0,15978.0,21.0,25,1720143975
2352.0,17426.0,16034.0,21.0,26,1720143975
2380.0,17454.0,16090.0,21.0,27,1720143975
2422.0,17454.0,16146.0,21.0,28,1720143975
2436.0,17468.0,16202.0,21.0,29,1720143975
1890.0,17174.0,15110.0,24.305,10,1720143975
1960.0,17048.0,15082.0,35.0,9,1720143975
1946.0,17020.0,15054.0,32.598,32,1720143975
1820.0,17202.0,15054.0,50.7235,8,1720143975
1820.0,16950.0,14830.0,81.5438,7,1720143975
1806.0,17006.0,14704.0,74.6333,6,1720143975
1750.0,17412.0,14872.0,78.1587,5,1720143975
1568.0,17426.0,14746.0,55.6099,4,1720143975
1624.0,17468.0,14788.0,24.305,4,1720143975
1764.0,17132.0,14802.0,187.49400000000003,3,1720143975
1512.0,17426.0,14662.0,35.0,2,1720143975
2450.0,17482.0,16272.0,21.0,-1,1720143975
2478.0,17482.0,16328.0,21.0,42,1720143975
2506.0,17482.0,16384.0,21.0,43,1720143975
2506.0,17482.0,16412.0,21.0,44,1720143975
2520.0,17496.0,16426.0,21.0,45,1720143975
2520.0,17496.0,16454.0,12.799000000000001,46,1720143975
2520.0,17510.0,16482.0,21.0,47,1720143975
2520.0,17524.0,16524.0,12.799000000000001,48,1720143975
2520.0,17524.0,16538.0,12.799000000000001,49,1720143975
2534.0,17538.0,16552.0,12.799000000000001,50,1720143975
2534.0,17552.0,16566.0,12.799000000000001,51,1720143975
2534.0,17566.0,16566.0,7.0,52,1720143975
2520.0,17594.0,16664.0,24.305,-1,1720143975
2534.0,17650.0,16734.0,21.0,54,1720143975
2548.0,17720.0,16846.0,21.0,-1,1720143975
2562.0,17748.0,16860.0,21.0,56,1720143975
2576.0,17762.0,16874.0,7.0,57,1720143975
2576.0,17776.0,16888.0,7.0,58,1720143975
686.0,18560.0,19240.0,7.0,-1,1720143975
700.0,18574.0,19254.0,12.799000000000001,60,1720143975
