x,y,z,radius,link,bodyId
5828.0,20722.0,34242.0,8.0,-1,2126792076
5828.0,20738.0,34242.0,14.6274,1,2126792076
5828.0,20770.0,34226.0,14.6274,2,2126792076
5803.59,20794.4,34201.6,19.5554,3,2126792076
5796.0,20818.0,34146.0,14.6274,4,2126792076
5780.0,20818.0,34130.0,14.6274,5,2126792076
5764.0,20802.0,34114.0,8.0,6,2126792076
5764.0,20802.0,34098.0,8.0,7,2126792076
5748.0,20802.0,34050.0,24.0,8,2126792076
5732.0,20818.0,34018.0,24.0,9,2126792076
5732.0,20834.0,33986.0,14.6274,10,2126792076
5748.0,20850.0,33970.0,24.0,11,2126792076
5761.33,20908.7,33911.3,24.0,12,2126792076
5780.0,20930.0,33890.0,24.0,13,2126792076
5780.0,20994.0,33890.0,24.0,14,2126792076
5796.0,21026.0,33890.0,14.6274,15,2126792076
5796.0,21058.0,33890.0,24.0,16,2126792076
5812.0,21090.0,33906.0,14.6274,17,2126792076
5828.0,21122.0,33906.0,14.6274,18,2126792076
5844.0,21138.0,33922.0,14.6274,19,2126792076
5860.0,21154.0,33938.0,24.0,20,2126792076
5876.0,21186.0,33954.0,8.0,21,2126792076
5892.0,21234.0,33954.0,24.0,22,2126792076
5908.0,21266.0,33954.0,14.6274,23,2126792076
5924.0,21298.0,33954.0,24.0,24,2126792076
5908.0,21362.0,33954.0,24.0,25,2126792076
5892.0,21394.0,33954.0,14.6274,26,2126792076
5860.0,21426.0,33954.0,14.6274,27,2126792076
5860.0,21458.0,33954.0,24.0,28,2126792076
5860.0,21490.0,33954.0,24.0,29,2126792076
5860.0,21522.0,33954.0,8.0,30,2126792076
5844.0,21538.0,33954.0,14.6274,31,2126792076
5844.0,21554.0,33954.0,8.0,32,2126792076
5844.0,21570.0,33954.0,8.0,33,2126792076
5844.0,21586.0,33954.0,14.6274,34,2126792076
5861.78,21635.8,33937.1,24.0,35,2126792076
5892.0,21666.0,33922.0,24.0,36,2126792076
5908.0,21698.0,33922.0,14.6274,37,2126792076
5924.0,21730.0,33922.0,14.6274,38,2126792076
5940.0,21746.0,33938.0,24.0,39,2126792076
5972.0,21778.0,33954.0,24.0,40,2126792076
5973.26,21845.8,33954.0,25.0479,41,2126792076
5988.0,21938.0,33938.0,40.0,42,2126792076
5956.0,21970.0,33906.0,37.2548,43,2126792076
5956.0,22018.0,33890.0,24.0,44,2126792076
5988.0,22082.0,33890.0,24.0,45,2126792076
6004.0,22146.0,33906.0,24.0,46,2126792076
6004.0,22194.0,33890.0,8.0,47,2126792076
6004.0,22210.0,33890.0,8.0,48,2126792076
5988.0,22226.0,33890.0,14.6274,49,2126792076
5988.0,22242.0,33890.0,8.0,50,2126792076
5988.0,22274.0,33890.0,24.0,51,2126792076
5988.0,22306.0,33858.0,24.0,52,2126792076
6004.0,22382.0,33798.0,61.3626,53,2126792076
5997.14,22406.6,33807.7,62.7673,54,2126792076
5972.0,22498.0,33922.0,56.0,55,2126792076
5972.0,22582.9,34041.4,37.6772,56,2126792076
5972.0,22666.0,34138.0,48.4777,57,2126792076
6023.13,22868.8,34184.6,56.0,58,2126792076
6028.89,23040.2,34115.8,56.0,59,2126792076
6004.0,23138.0,34018.0,56.0,60,2126792076
