x,y,z,radius,link,bodyId
3144.0,17702.0,16434.0,18.0,-1,1190254555
3120.0,17666.0,16434.0,42.0,1,1190254555
3156.0,17582.0,16410.0,85.3893,2,1190254555
3169.67,17486.0,16567.6,173.74400000000003,3,1190254555
3235.44,17543.5,16748.5,268.269,4,1190254555
3247.5,17554.1,16781.6,285.603,5,1190254555
3252.0,17558.0,16794.0,292.074,6,1190254555
3249.65,17557.4,16808.1,284.341,7,1190254555
3248.84,17557.2,16812.9,281.67400000000004,8,1190254555
3237.27,17554.3,16882.4,243.541,9,1190254555
3207.16,17546.8,17063.1,144.343,10,1190254555
3228.0,17558.0,17226.0,58.622,11,1190254555
3276.0,17582.0,17334.0,37.2666,12,1190254555
3324.0,17618.0,17418.0,37.2666,13,1190254555
3360.0,17642.0,17514.0,31.9473,14,1190254555
3408.0,17666.0,17574.0,31.9473,15,1190254555
3456.0,17690.0,17634.0,37.2666,16,1190254555
3528.0,17774.0,17766.0,27.9411,17,1190254555
3552.0,17798.0,17814.0,27.9411,18,1190254555
3588.0,17834.0,17874.0,27.9411,19,1190254555
3612.0,17870.0,17910.0,27.9411,20,1190254555
3636.0,17894.0,17970.0,20.8328,21,1190254555
3660.0,17918.0,18006.0,18.0,22,1190254555
3672.0,17930.0,18042.0,20.8328,23,1190254555
3696.0,17954.0,18090.0,20.8328,24,1190254555
3732.0,17978.0,18126.0,27.9411,25,1190254555
3780.0,17978.0,18198.0,27.9411,26,1190254555
3816.0,17990.0,18258.0,27.9411,27,1190254555
3864.0,17990.0,18330.0,30.0,28,1190254555
3912.0,17990.0,18390.0,27.9411,29,1190254555
3948.0,17978.0,18438.0,30.0,30,1190254555
3984.0,17966.0,18498.0,27.9411,31,1190254555
4008.0,17942.0,18546.0,18.0,32,1190254555
4021.33,17939.3,18596.7,19.1046,33,1190254555
4032.0,17918.0,18618.0,27.9411,34,1190254555
4068.0,17918.0,18678.0,30.0,35,1190254555
4104.0,17918.0,18750.0,31.9473,36,1190254555
4140.0,17930.0,18846.0,27.9411,37,1190254555
4164.0,17930.0,18918.0,27.9411,38,1190254555
4212.0,17930.0,18990.0,27.9411,39,1190254555
4260.0,17930.0,19074.0,27.9411,40,1190254555
4272.0,17930.0,19110.0,20.8328,41,1190254555
4320.0,17942.0,19182.0,27.9411,42,1190254555
4368.0,17954.0,19254.0,20.8328,43,1190254555
4404.0,17978.0,19326.0,27.9411,44,1190254555
4428.0,17990.0,19374.0,27.9411,45,1190254555
4452.0,18002.0,19398.0,18.0,46,1190254555
4500.0,18026.0,19458.0,27.9411,47,1190254555
4536.0,18038.0,19518.0,30.0,48,1190254555
4584.0,18038.0,19590.0,20.8328,49,1190254555
4632.0,18038.0,19638.0,20.8328,50,1190254555
4632.0,18048.8,19659.6,20.8328,51,1190254555
4656.0,18062.0,19686.0,20.8328,52,1190254555
4656.0,18074.0,19710.0,20.8328,53,1190254555
4692.0,18074.0,19758.0,18.0,54,1190254555
4716.0,18086.0,19782.0,18.0,55,1190254555
4726.0,18096.0,19802.0,18.0,56,1190254555
4740.0,18122.0,19878.0,20.8328,57,1190254555
4764.0,18146.0,19926.0,18.0,58,1190254555
4800.0,18158.0,19974.0,18.0,59,1190254555
4824.0,18158.0,20022.0,18.0,60,1190254555
4860.0,18158.0,20070.0,18.0,61,1190254555
4872.0,18170.0,20118.0,18.0,62,1190254555
4908.0,18170.0,20166.0,18.0,63,1190254555
4908.0,18170.0,20214.0,18.0,64,1190254555
4932.0,18170.0,20262.0,20.8328,65,1190254555
4956.0,18170.0,20310.0,20.8328,66,1190254555
4992.0,18170.0,20358.0,20.8328,67,1190254555
5004.0,18170.0,20406.0,18.0,68,1190254555
5028.0,18170.0,20466.0,20.8328,69,1190254555
5064.0,18170.0,20514.0,18.0,70,1190254555
5064.0,18170.0,20538.0,18.0,71,1190254555
5076.0,18182.0,20550.0,18.0,72,1190254555
5088.0,18182.0,20610.0,20.8328,73,1190254555
5112.0,18194.0,20670.0,20.8328,74,1190254555
5136.0,18194.0,20718.0,20.8328,75,1190254555
5160.0,18206.0,20766.0,18.0,76,1190254555
5172.0,18206.0,20814.0,20.8328,77,1190254555
5196.0,18218.0,20874.0,20.8328,78,1190254555
5220.0,18242.0,20922.0,20.8328,79,1190254555
5244.0,18254.0,20946.0,6.0,80,1190254555
5256.0,18242.0,20958.0,6.0,81,1190254555
