x,y,z,radius,link,bodyId
1116.0,16664.0,15582.0,20.8328,-1,1315745396
1114.41,16718.9,15650.1,48.1769,1,1315745396
1278.21,16775.2,15792.2,187.271,2,1315745396
1347.99,16765.9,15862.0,226.06400000000002,3,1315745396
1392.0,16760.0,15906.0,250.53099999999998,4,1315745396
1407.09,16763.4,15941.2,247.88400000000001,5,1315745396
1442.71,16771.3,16024.3,241.635,6,1315745396
1463.45,16775.9,16072.7,237.998,7,1315745396
1466.12,16776.5,16079.0,237.53,8,1315745396
1482.34,16780.1,16116.8,234.685,9,1315745396
1488.5,16781.4,16131.2,233.605,10,1315745396
1500.0,16784.0,16158.0,231.588,11,1315745396
1511.03,16791.9,16165.9,220.972,12,1315745396
1619.64,16869.5,16243.5,116.443,13,1315745396
1727.66,16933.8,16327.7,56.7248,14,1315745396
1740.0,16940.0,16338.0,54.0,15,1315745396
1788.0,16988.0,16434.0,42.0,16,1315745396
1788.0,17015.0,16461.0,38.45,17,1315745396
1788.0,17044.3,16500.5,37.2666,18,1315745396
1800.69,17074.1,16544.8,36.9597,19,1315745396
1848.0,17168.0,16674.0,31.9473,20,1315745396
1896.0,17228.0,16746.0,37.2666,21,1315745396
1932.0,17288.0,16794.0,30.0,22,1315745396
1968.0,17336.0,16842.0,30.0,23,1315745396
2028.0,17372.0,16902.0,31.9473,24,1315745396
2076.0,17396.0,16938.0,30.0,25,1315745396
2124.0,17420.0,16974.0,31.9473,26,1315745396
2184.0,17444.0,17022.0,31.9473,27,1315745396
2280.0,17456.0,17070.0,30.0,28,1315745396
2340.0,17468.0,17106.0,30.0,29,1315745396
2388.0,17480.0,17142.0,30.0,30,1315745396
2424.0,17492.0,17178.0,30.0,31,1315745396
2472.0,17504.0,17226.0,18.0,32,1315745396
2520.0,17504.0,17274.0,18.0,33,1315745396
2568.0,17516.0,17334.0,27.9411,34,1315745396
2580.0,17540.0,17358.0,10.9706,35,1315745396
2580.0,17552.0,17358.0,6.0,36,1315745396
1848.0,17036.0,16554.0,18.0,20,1315745396
1740.0,17072.0,16458.0,18.0,19,1315745396
1824.0,17012.0,16494.0,27.9411,18,1315745396
1728.0,17024.0,16398.0,27.9411,17,1315745396
1764.0,16856.0,16314.0,30.0,16,1315745396
1656.0,17000.0,16338.0,30.0,15,1315745396
1403.29,17002.8,16230.0,90.75,14,1315745396
1380.0,17096.0,16230.0,18.0,44,1315745396
1476.0,16880.0,16218.0,162.428,44,1315745396
1550.39,16615.9,16234.5,135.884,13,1315745396
1596.0,16412.0,16314.0,37.2666,47,1315745396
1716.0,16436.0,16110.0,30.0,47,1315745396
1476.0,16689.2,15860.4,235.90200000000002,12,1315745396
1476.0,16592.0,15666.0,123.244,50,1315745396
1476.0,16524.7,15589.1,87.0088,51,1315745396
