x,y,z,radius,link,bodyId
354.0,22162.0,32520.0,7.0,-1,1721309490
354.0,22176.0,32520.0,12.799000000000001,1,1721309490
368.0,22204.0,32492.0,35.0,2,1721309490
354.0,22218.0,32422.0,63.0,3,1721309490
345.667,22234.7,32304.7,55.0981,4,1721309490
326.538,22246.0,32214.7,63.0,5,1721309490
270.0,22218.0,32156.0,50.7235,6,1721309490
200.0,22246.0,32030.0,49.0,7,1721309490
200.0,22274.0,31918.0,32.598,8,1721309490
172.0,22260.0,31848.0,32.598,9,1721309490
200.0,22274.0,31736.0,21.0,10,1721309490
200.0,22288.0,31680.0,21.0,11,1721309490
214.0,22316.0,31652.0,21.0,12,1721309490
214.0,22316.0,31610.0,21.0,13,1721309490
228.0,22330.0,31596.0,21.0,14,1721309490
242.0,22330.0,31540.0,21.0,15,1721309490
242.0,22330.0,31512.0,12.799000000000001,16,1721309490
242.0,22330.0,31484.0,12.799000000000001,17,1721309490
242.0,22344.0,31442.0,21.0,18,1721309490
228.0,22330.0,31372.0,63.0,19,1721309490
206.417,22373.7,31211.1,58.2779,20,1721309490
256.0,22400.0,31120.0,32.598,21,1721309490
284.0,22428.0,31064.0,32.598,22,1721309490
326.0,22428.0,30980.0,21.0,23,1721309490
354.0,22442.0,30938.0,21.0,24,1721309490
424.0,22470.0,30882.0,35.0,25,1721309490
466.0,22484.0,30840.0,43.4777,26,1721309490
512.941,22487.3,30822.7,33.3529,27,1721309490
571.778,22533.8,30776.2,21.0,28,1721309490
606.0,22540.0,30742.0,21.0,29,1721309490
648.0,22554.0,30658.0,32.598,30,1721309490
662.0,22568.0,30560.0,49.0,31,1721309490
716.444,22588.2,30463.6,47.466,32,1721309490
774.0,22596.0,30406.0,49.0,33,1721309490
830.0,22610.0,30378.0,24.305,34,1721309490
872.0,22638.0,30364.0,21.0,35,1721309490
928.0,22638.0,30364.0,21.0,36,1721309490
984.0,22638.0,30336.0,21.0,37,1721309490
1054.0,22652.0,30336.0,21.0,38,1721309490
1082.0,22638.0,30322.0,21.0,39,1721309490
1152.0,22638.0,30308.0,43.4777,40,1721309490
1292.41,22666.0,30173.4,71.2353,41,1721309490
1351.29,22666.0,30139.2,48.3101,42,1721309490
1488.0,22694.0,30098.0,24.305,43,1721309490
1558.0,22736.0,30084.0,35.0,44,1721309490
1600.0,22736.0,30084.0,21.0,45,1721309490
1656.0,22736.0,30084.0,21.0,46,1721309490
1712.0,22736.0,30084.0,21.0,47,1721309490
1768.0,22750.0,30126.0,35.0,48,1721309490
1852.0,22764.0,30154.0,35.0,49,1721309490
1894.0,22764.0,30154.0,35.0,50,1721309490
1936.0,22764.0,30154.0,21.0,51,1721309490
1978.0,22750.0,30140.0,21.0,52,1721309490
2020.0,22736.0,30140.0,21.0,53,1721309490
2076.0,22722.0,30140.0,21.0,54,1721309490
2104.0,22722.0,30154.0,21.0,55,1721309490
2146.0,22708.0,30182.0,35.0,56,1721309490
2174.99,22619.8,30260.8,90.3635,57,1721309490
2252.92,22651.0,30343.9,65.2468,58,1721309490
2314.0,22638.0,30406.0,35.0,59,1721309490
2384.0,22652.0,30448.0,32.598,60,1721309490
2440.0,22652.0,30476.0,21.0,61,1721309490
2538.0,22652.0,30518.0,35.0,62,1721309490
2608.0,22652.0,30574.0,24.305,63,1721309490
2636.0,22652.0,30574.0,21.0,64,1721309490
2748.0,22638.0,30602.0,63.0,65,1721309490
2818.0,22624.0,30644.0,78.1587,66,1721309490
2930.0,22764.0,30756.0,46.4508,67,1721309490
3014.0,22862.0,30826.0,24.305,68,1721309490
3056.0,22904.0,30910.0,32.598,69,1721309490
3140.0,22932.0,31008.0,32.598,70,1721309490
3168.0,22932.0,31036.0,32.598,71,1721309490
3238.0,22904.0,31134.0,63.0,72,1721309490
3330.29,22897.9,31234.2,66.9416,73,1721309490
3476.0,22890.0,31204.0,35.0,74,1721309490
3574.0,22918.0,31204.0,37.2719,75,1721309490
3649.92,22954.6,31204.0,36.835,76,1721309490
3826.0,23002.0,31204.0,49.0,77,1721309490
3952.0,22988.0,31218.0,37.2719,78,1721309490
4025.5,22963.5,31218.0,41.3583,79,1721309490
4111.78,22922.1,31230.6,50.0147,80,1721309490
4158.29,22892.5,31206.5,49.1521,81,1721309490
4218.0,22862.0,31148.0,35.0,82,1721309490
4260.0,22834.0,31092.0,35.0,83,1721309490
4288.0,22792.0,31008.0,37.2719,84,1721309490
4316.0,22764.0,30980.0,43.4777,85,1721309490
4340.23,22667.1,30893.3,61.0104,86,1721309490
4288.0,22540.0,30742.0,50.7235,87,1721309490
4246.0,22470.0,30630.0,63.0,88,1721309490
4190.0,22358.0,30504.0,64.3863,89,1721309490
4120.0,22316.0,30364.0,63.0,90,1721309490
4064.0,22302.0,30266.0,50.7235,91,1721309490
4008.0,22288.0,30154.0,49.0,92,1721309490
3938.0,22246.0,30000.0,49.0,93,1721309490
3896.0,22218.0,29846.0,63.0,94,1721309490
3854.0,22204.0,29692.0,50.7235,95,1721309490
3812.0,22190.0,29538.0,37.2719,96,1721309490
3784.0,22134.0,29454.0,49.0,97,1721309490
3798.0,22064.0,29356.0,52.397,98,1721309490
3784.0,22008.0,29244.0,49.0,99,1721309490
3784.0,21966.0,29132.0,52.397,100,1721309490
3784.0,21910.0,29034.0,43.4777,101,1721309490
3807.57,21792.9,28888.2,58.5667,102,1721309490
3840.0,21756.0,28796.0,43.4777,103,1721309490
3882.0,21700.0,28740.0,32.598,104,1721309490
3905.06,21665.4,28716.9,36.4471,105,1721309490
3910.0,21574.0,28684.0,35.0,106,1721309490
3924.0,21532.0,28600.0,24.305,107,1721309490
3966.0,21532.0,28516.0,35.0,108,1721309490
3966.0,21532.0,28432.0,35.0,109,1721309490
3966.0,21532.0,28334.0,43.4777,110,1721309490
3952.0,21504.0,28208.0,43.4777,111,1721309490
3938.0,21490.0,28096.0,50.7235,112,1721309490
3910.0,21434.0,27914.0,35.0,113,1721309490
3896.0,21420.0,27872.0,43.4777,114,1721309490
3896.0,21378.0,27802.0,35.0,115,1721309490
3882.0,21364.0,27718.0,35.0,116,1721309490
3840.0,21322.0,27592.0,49.0,117,1721309490
3826.0,21266.0,27508.0,49.0,118,1721309490
3826.0,21224.0,27396.0,43.4777,119,1721309490
3826.0,21210.0,27354.0,32.598,120,1721309490
3812.0,21182.0,27270.0,35.0,121,1721309490
3812.0,21154.0,27186.0,43.4777,122,1721309490
3812.0,21088.2,27026.4,50.7235,123,1721309490
3770.0,21014.0,26892.0,32.598,124,1721309490
3742.0,20958.0,26836.0,35.0,125,1721309490
3756.0,20916.0,26794.0,24.305,126,1721309490
3770.0,20860.0,26738.0,35.0,127,1721309490
3784.0,20790.0,26696.0,37.2719,128,1721309490
3826.0,20720.0,26682.0,35.0,129,1721309490
3854.0,20636.0,26640.0,32.598,130,1721309490
3896.0,20566.0,26626.0,24.305,131,1721309490
3924.0,20510.0,26598.0,32.598,132,1721309490
3980.0,20426.0,26570.0,50.7235,133,1721309490
4036.0,20356.0,26500.0,55.6099,134,1721309490
4092.0,20272.0,26444.0,43.4777,135,1721309490
4148.0,20202.0,26374.0,32.598,136,1721309490
4162.0,20146.0,26332.0,32.598,137,1721309490
4204.0,20062.0,26276.0,32.598,138,1721309490
4246.0,19950.0,26234.0,43.4777,139,1721309490
4288.0,19880.0,26192.0,37.2719,140,1721309490
4330.0,19810.0,26122.0,32.598,141,1721309490
4372.0,19754.0,26066.0,43.4777,142,1721309490
4400.0,19684.0,25996.0,63.0,143,1721309490
4414.0,19600.0,25898.0,35.0,144,1721309490
4470.0,19544.0,25828.0,43.4777,145,1721309490
4526.0,19544.0,25758.0,35.0,146,1721309490
4568.0,19502.0,25716.0,32.598,147,1721309490
4610.0,19446.0,25688.0,32.598,148,1721309490
4652.0,19376.0,25632.0,35.0,149,1721309490
4677.79,19298.6,25582.6,43.4777,150,1721309490
4708.0,19264.0,25548.0,37.2719,151,1721309490
4778.0,19250.0,25450.0,35.0,152,1721309490
4848.0,19222.0,25380.0,43.4777,153,1721309490
4932.0,19208.0,25310.0,32.598,154,1721309490
4988.0,19194.0,25240.0,35.0,155,1721309490
