x,y,z,radius,link,bodyId
876.0,16872.0,14652.0,56.0,-1,1503331732
991.597,17039.2,14790.3,149.921,1,1503331732
1004.0,17064.0,14812.0,162.082,2,1503331732
981.818,17152.7,14967.3,216.718,3,1503331732
973.455,17186.2,15025.8,237.31900000000002,4,1503331732
972.0,17233.8,15081.6,219.766,5,1503331732
972.0,17245.8,15094.7,213.72799999999998,6,1503331732
972.0,17307.6,15162.1,182.528,7,1503331732
972.0,17327.5,15183.8,172.46400000000003,8,1503331732
972.0,17368.0,15228.0,152.0,9,1503331732
1028.97,17447.8,15285.0,85.039,10,1503331732
1116.0,17480.0,15372.0,42.5964,11,1503331732
1141.9,17493.0,15423.8,42.5964,12,1503331732
1180.0,17512.0,15484.0,40.0,13,1503331732
1196.0,17542.6,15590.4,28.8556,14,1503331732
1212.0,17560.0,15660.0,40.0,15,1503331732
1264.47,17589.6,15728.5,31.603,16,1503331732
1308.0,17624.0,15772.0,24.0,17,1503331732
1308.0,17624.0,15804.0,24.0,18,1503331732
1340.0,17656.0,15868.0,27.7771,19,1503331732
1356.0,17688.0,15948.0,37.2548,20,1503331732
1404.0,17688.0,16012.0,37.2548,21,1503331732
1436.0,17688.0,16044.0,27.7771,22,1503331732
1500.0,17688.0,16108.0,37.2548,23,1503331732
1564.0,17672.0,16140.0,27.7771,24,1503331732
1628.0,17640.0,16172.0,27.7771,25,1503331732
1708.0,17608.0,16252.0,27.7771,26,1503331732
1756.0,17592.0,16300.0,27.7771,27,1503331732
1804.0,17592.0,16364.0,27.7771,28,1503331732
1868.0,17592.0,16428.0,27.7771,29,1503331732
1900.0,17592.0,16476.0,40.0,30,1503331732
1964.0,17592.0,16572.0,24.0,31,1503331732
1964.0,17624.0,16620.0,37.2548,32,1503331732
2012.0,17624.0,16668.0,27.7771,33,1503331732
2012.0,17640.0,16700.0,27.7771,34,1503331732
2076.0,17640.0,16764.0,24.0,35,1503331732
2140.0,17640.0,16828.0,37.2548,36,1503331732
2204.0,17672.0,16908.0,37.2548,37,1503331732
2252.0,17704.0,16972.0,24.0,38,1503331732
2316.0,17720.0,17068.0,37.2548,39,1503331732
2348.0,17752.0,17132.0,27.7771,40,1503331732
2396.0,17800.0,17196.0,27.7771,41,1503331732
2412.0,17832.0,17260.0,27.7771,42,1503331732
2428.0,17864.0,17292.0,27.7771,43,1503331732
2444.0,17864.0,17324.0,27.7771,44,1503331732
2476.0,17928.0,17404.0,27.7771,45,1503331732
2508.0,17960.0,17452.0,24.0,46,1503331732
2524.0,17976.0,17516.0,24.0,47,1503331732
2556.0,17992.0,17564.0,24.0,48,1503331732
2556.0,18024.0,17596.0,14.6274,49,1503331732
2556.0,18040.0,17596.0,8.0,50,1503331732
1301.2,17591.1,15686.2,26.9119,17,1503331732
1324.0,17592.0,15660.0,24.0,52,1503331732
1292.0,17528.0,15644.0,14.6274,52,1503331732
1292.0,17512.0,15644.0,8.0,54,1503331732
1132.0,17576.0,15548.0,24.0,15,1503331732
1100.0,17576.0,15516.0,24.0,56,1503331732
1196.0,17432.0,15452.0,24.0,14,1503331732
1054.6,17542.3,15404.2,28.2374,13,1503331732
1020.0,17560.0,15404.0,27.7771,59,1503331732
1020.0,17528.0,15340.0,40.0,59,1503331732
1132.0,17384.0,15356.0,37.2548,12,1503331732
892.0,17560.0,15308.0,42.5964,11,1503331732
856.525,17452.0,15165.0,114.241,10,1503331732
796.0,17496.0,15132.0,94.45,64,1503331732
812.0,17576.0,15212.0,40.0,64,1503331732
764.0,17464.0,15068.0,113.852,9,1503331732
1180.0,17144.0,15276.0,37.2548,8,1503331732
1148.0,17272.0,15292.0,37.2548,8,1503331732
1180.0,17128.0,15132.0,89.3242,7,1503331732
940.0,17336.0,15148.0,170.885,6,1503331732
651.259,17145.6,14821.2,99.5209,5,1503331732
572.0,17064.0,14764.0,40.0,72,1503331732
748.0,17048.0,14748.0,57.9697,5,1503331732
684.0,16952.0,14668.0,24.0,74,1503331732
1100.0,16904.0,14860.0,128.704,4,1503331732
780.0,16952.0,14684.0,40.0,3,1503331732
1036.0,16840.0,14748.0,72.0,2,1503331732
1004.0,16792.0,14700.0,37.2548,78,1503331732
2732.0,18152.0,17884.0,27.7771,-1,1503331732
2780.0,18184.0,17948.0,24.0,80,1503331732
